ANNO,MES,ENERGIA_GENERADA,ENERGIA_DEPOSITADA,ENERGIA_RETIRADA,IMPORTE_POR_ENERGIA_RETIRADA,EMPRESA,CODIGO_TARIFA,CODIGO_TARIFA1,TOTAL_CONSUMO_KWH,TOTAL_IMPORTE_ENE,Suma de DISTRITO,Recuento de DISTRITO,Provincia1,CONSUMO_NATURAL,SECTOR,Data_Check
2018,3,1173,824,575,16020,ICE,1,Residencial,372,39159,20503,1,Alajuela,1296,Residencial,TRUE
2018,6,1043,740,512,14264,ICE,1,Residencial,414,45412,20504,1,Alajuela,1229,Residencial,TRUE
2018,7,999,745,489,13091,ICE,1,Residencial,366,38698,20503,1,Alajuela,1109,Residencial,TRUE
2018,8,974,723,477,13289,ICE,1,Residencial,475,53658,20503,1,Alajuela,1203,Residencial,TRUE
2018,9,804,604,394,10977,ICE,1,Residencial,440,48793,20503,1,Alajuela,1034,Residencial,TRUE
2018,10,936,793,459,12788,ICE,1,Residencial,114,8790,20503,1,Alajuela,716,Residencial,TRUE
2018,2,609,129,129,3594,ICE,1,Residencial,393,42065,60504,1,Puntarenas,1002,Residencial,TRUE
2018,3,676,181,181,5043,ICE,1,Residencial,225,18818,60504,1,Puntarenas,901,Residencial,TRUE
2018,4,719,170,170,4736,ICE,1,Residencial,305,29897,60504,1,Puntarenas,1024,Residencial,TRUE
2018,5,624,2448,156,4346,ICE,1,Residencial,279,26547,60504,1,Puntarenas,-1389,Residencial,FALSE
2018,6,632,125,125,3482,ICE,1,Residencial,105,8142,10408,1,San José,737,Residencial,TRUE
2018,7,521,106,106,2838,ICE,1,Residencial,364,38419,60504,1,Puntarenas,885,Residencial,TRUE
2018,8,550,99,99,2758,ICE,1,Residencial,489,55605,60504,1,Puntarenas,1039,Residencial,TRUE
2018,9,539,109,109,3037,ICE,1,Residencial,344,35447,60504,1,Puntarenas,883,Residencial,TRUE
2018,10,606,143,143,3984,ICE,1,Residencial,312,30985,60504,1,Puntarenas,918,Residencial,TRUE
2018,1,1018,205,205,5711,ICE,4,Comercios y servicios monómica,1616,187224,11901,1,San José,2634,Servicios,TRUE
2018,2,1434,331,331,9222,ICE,4,Comercios y servicios monómica,1579,182580,11901,1,San José,3013,Servicios,TRUE
2018,3,1313,267,267,7439,ICE,4,Comercios y servicios monómica,1532,177145,11901,1,San José,2845,Servicios,TRUE
2018,4,1087,175,175,4876,ICE,4,Comercios y servicios monómica,1955,227926,11901,1,San José,3042,Servicios,TRUE
2018,5,905,98,98,2730,ICE,4,Comercios y servicios monómica,2040,238211,11901,1,San José,2945,Servicios,TRUE
2018,6,984,84,84,2340,ICE,4,Comercios y servicios monómica,154,17983,20301,1,Alajuela,1138,Servicios,TRUE
