Consumo,TCO,TCS,TIN,TMT,TMTb,TRE,TUD,Total general
367,64,8,5,0,0,350,0,427
368,61,4,3,0,0,316,0,384
369,54,2,1,0,0,285,0,342
370,56,5,4,0,0,330,0,395
371,41,6,3,0,0,303,0,353
372,57,7,1,0,0,274,0,339
373,49,4,1,0,0,288,0,342
374,46,4,1,0,0,298,0,349
375,72,5,1,0,0,337,0,415
376,46,7,0,0,0,255,0,308
377,43,9,3,0,0,268,0,323
378,59,4,2,0,0,269,0,334
379,55,3,1,0,0,244,0,303
380,70,3,1,0,0,301,0,375
381,62,6,0,0,0,236,0,304
382,46,6,2,0,0,261,0,315
383,63,3,1,0,0,252,0,319
384,42,4,2,0,0,281,0,329
385,57,3,1,0,0,248,0,309
386,41,5,1,0,0,239,0,286
387,51,2,1,0,0,241,0,295
388,48,7,1,0,0,238,0,294
389,56,2,2,0,0,238,0,298
390,79,7,1,0,0,383,0,470
391,51,4,2,0,0,229,0,286
392,51,0,1,0,0,248,0,300
393,58,2,2,0,0,210,0,272
394,55,5,0,0,0,229,0,289
395,42,3,0,0,0,210,0,255
396,58,5,0,0,0,224,0,287
397,55,6,3,0,0,231,0,295
398,46,4,2,0,0,218,0,270
399,59,3,1,0,0,188,0,251
400,61,2,4,0,0,229,0,296
401,44,1,3,0,0,180,0,228
402,49,6,1,0,0,191,0,247
403,54,5,3,0,0,232,0,294
404,54,3,2,0,0,191,0,250
405,52,5,2,0,0,243,0,302
406,50,4,1,0,0,203,0,258
407,48,1,1,0,0,175,0,225
408,52,4,1,1,0,206,0,264
409,45,6,1,0,0,202,0,254
410,44,6,3,0,0,194,0,247
411,44,5,0,0,0,191,0,240
412,39,2,2,0,0,183,0,226
413,40,1,2,0,0,193,0,236
414,39,6,0,0,0,189,0,234
415,48,1,2,0,0,207,0,258
416,40,4,0,0,0,200,0,244
417,44,2,5,0,0,166,0,217
418,41,4,0,0,0,164,0,209
419,53,8,2,0,0,181,0,244
420,59,5,3,0,0,239,0,306
421,51,6,1,0,0,176,0,234
422,40,4,4,0,0,158,0,206
423,56,6,3,0,0,166,0,231
424,29,1,1,0,0,159,0,190
425,46,4,2,0,0,151,0,203
426,47,6,1,0,0,174,0,228
427,52,3,3,0,0,160,0,218
428,54,0,3,0,0,143,0,200
429,49,2,0,0,0,149,0,200
430,61,3,2,0,0,178,0,244
431,43,4,1,0,0,159,0,207
432,49,4,1,0,0,144,0,198
433,39,2,0,0,0,139,0,180
434,46,3,1,0,0,161,0,211
435,61,6,1,0,0,199,0,267
436,44,2,3,0,0,151,0,200
437,35,3,0,0,0,161,0,199
438,42,2,0,0,0,149,0,193
439,49,4,1,0,0,133,0,187
440,30,3,1,0,0,158,0,192
441,47,6,0,0,0,134,0,187
442,52,2,0,0,0,142,0,196
443,37,5,1,0,0,148,0,191
444,47,2,1,0,0,138,0,188
445,41,5,1,0,0,137,0,184
446,45,7,3,0,0,126,0,181
447,47,4,2,0,0,127,0,180
448,38,6,1,0,0,117,0,162
449,38,0,2,0,0,141,0,181
450,54,5,2,0,0,202,0,263
451,39,0,4,0,0,128,0,171
452,38,2,1,0,0,126,0,167
453,53,5,0,0,0,139,0,197
454,52,3,1,0,0,117,0,173
455,35,1,1,0,0,130,0,167
456,31,0,4,0,0,136,0,171
457,47,4,4,0,0,132,0,187
458,33,1,1,0,0,114,0,149
459,49,5,2,0,0,164,0,220
460,55,0,3,0,0,156,0,214
461,45,5,1,0,0,106,0,157
462,51,3,3,0,0,118,0,175
463,36,1,3,0,0,112,0,152
464,49,3,2,0,0,115,0,169
465,58,7,3,0,0,136,0,204
466,47,3,1,0,0,113,0,164
467,41,3,1,0,0,102,0,147
468,43,4,2,0,0,119,0,168
469,34,4,1,0,0,115,0,154
470,46,1,3,0,0,133,0,183
471,44,3,0,0,0,104,0,151
472,40,1,1,0,0,110,0,152
473,29,6,0,0,0,108,0,143
474,31,1,1,0,0,113,0,146
475,32,2,1,0,0,92,0,127
476,50,3,1,0,0,104,0,158
477,45,4,0,0,0,107,0,156
478,36,3,3,0,0,88,0,130
479,46,1,2,0,0,106,0,155
480,65,8,2,0,0,182,0,257
481,48,1,0,0,0,89,0,138
482,41,2,0,0,0,104,0,147
483,39,3,1,0,0,99,0,142
484,36,5,1,0,0,93,0,135
485,36,2,0,0,0,109,0,147
486,34,4,2,0,0,102,0,142
487,45,3,0,0,0,107,0,155
488,45,1,2,0,0,88,0,136
489,38,1,1,0,0,102,0,142
490,46,2,5,0,0,109,0,162
491,34,3,1,0,0,83,0,121
492,39,2,0,0,0,77,0,118
493,42,2,1,0,0,80,0,125
494,23,2,3,0,0,90,0,118
495,57,6,4,0,0,117,0,184
496,39,3,1,0,0,87,0,130
497,38,2,3,0,0,100,0,143
498,36,1,1,0,0,83,0,121
499,41,2,0,0,0,79,0,122
500,41,3,1,0,0,94,0,139
501,28,0,1,0,0,79,0,108
502,36,2,1,0,0,84,0,123
503,37,4,1,0,0,78,0,120
504,40,3,1,0,0,83,0,127
505,40,4,3,0,0,90,0,137
506,40,2,2,0,0,80,0,124
507,31,2,3,0,0,77,0,113
508,32,2,1,0,0,97,0,132
509,28,1,1,0,0,89,0,119
510,51,4,1,0,0,128,0,184
511,36,1,2,0,0,82,0,121
512,30,1,0,0,0,100,0,131
513,31,2,0,0,0,72,0,105
514,39,1,2,0,0,79,0,121
515,36,6,0,0,0,71,0,113
516,40,4,2,0,0,65,0,111
517,40,0,0,0,0,77,0,117
518,37,4,0,0,0,73,0,114
519,27,0,0,0,0,87,0,114
520,33,3,1,0,0,90,0,127
521,39,3,1,0,0,87,0,130
522,41,8,3,0,0,75,0,127
523,40,2,3,0,0,71,0,116
524,31,4,0,0,0,65,0,100
525,43,3,1,0,0,94,0,141
526,29,2,4,0,0,73,0,108
527,42,2,1,0,0,94,0,139
528,27,2,2,0,0,66,0,97
529,31,1,3,0,0,71,0,106
530,41,4,1,0,0,71,0,117
531,43,1,0,0,0,66,0,110
532,38,4,1,0,0,64,0,107
533,34,3,1,0,0,62,0,100
534,38,0,1,0,0,70,0,109
535,30,0,0,0,0,64,0,94
536,29,2,0,0,0,80,0,111
537,24,4,2,0,0,63,0,93
538,39,1,1,0,0,69,0,110
539,42,0,2,0,0,64,0,108
540,56,5,2,0,0,98,0,161
541,34,5,1,0,0,76,0,116
542,25,0,2,0,0,60,0,87
543,43,2,0,0,0,55,0,100
544,28,2,0,0,0,61,0,91
545,35,2,3,0,0,50,0,90
546,38,1,0,0,0,63,0,102
547,23,2,1,0,0,65,0,91
548,40,2,0,0,0,75,0,117
549,37,2,2,0,0,46,0,87
550,42,3,0,0,0,57,0,102
551,42,1,2,0,0,48,0,93
552,32,2,2,0,0,64,0,100
553,25,4,1,0,0,55,0,85
554,25,4,2,0,0,56,0,87
555,40,0,3,0,0,73,0,116
556,37,1,0,0,0,68,0,106
557,25,1,1,0,0,72,0,99
558,31,1,0,0,0,53,0,85
559,29,0,2,0,0,62,0,93
560,30,3,0,0,0,56,0,89
561,31,1,1,0,0,49,0,82
562,35,4,1,0,0,48,0,88
563,36,1,0,0,0,55,0,92
564,29,4,0,0,0,41,0,74
565,21,3,1,0,0,49,0,74
566,35,1,2,0,0,42,0,80
567,27,2,3,0,0,52,0,84
568,27,2,0,0,0,58,0,87
569,33,2,1,0,0,59,0,95
570,42,0,2,0,0,85,0,129
571,35,2,5,0,0,50,0,92
572,38,2,3,0,0,52,0,95
573,23,1,3,0,0,49,0,76
574,28,0,1,0,0,37,0,66
575,29,6,0,0,0,47,0,82
576,28,2,2,0,0,44,0,76
577,29,4,1,0,0,42,0,76
578,28,4,0,0,0,46,0,78
579,36,5,1,0,0,46,0,88
580,33,3,2,0,0,59,0,97
581,50,2,3,0,0,45,0,100
582,32,3,1,0,0,50,0,86
583,27,2,1,0,0,36,0,66
584,21,1,3,0,0,48,0,73
585,32,1,0,0,0,62,0,95
586,42,0,1,0,0,46,0,89
587,28,2,0,0,0,49,0,79
588,31,4,0,0,0,44,0,79
589,25,0,2,0,0,55,0,82
590,35,3,0,0,0,47,0,85
591,26,4,0,0,0,61,0,91
592,36,2,2,0,0,43,0,83
593,25,6,0,0,0,43,0,74
594,28,2,1,0,0,30,0,61
595,38,1,1,0,0,50,0,90
596,19,1,0,0,0,40,0,60
597,24,1,1,0,0,41,0,67
598,29,1,0,0,0,44,0,74
599,22,4,2,0,0,42,0,70
600,47,7,0,0,0,78,0,132
601,26,2,1,0,0,51,0,80
602,27,1,1,0,0,50,0,79
603,27,4,1,0,0,46,0,78
604,31,1,3,0,0,46,0,81
605,30,4,2,0,0,46,0,82
606,38,1,2,0,0,48,0,89
607,30,0,0,0,0,45,0,75
608,26,2,2,0,0,40,0,70
609,24,0,0,0,0,47,0,71
610,21,1,0,0,0,58,0,80
611,26,1,3,0,0,50,0,80
612,33,1,3,0,0,41,0,78
613,31,0,2,0,0,43,0,76
614,32,2,1,0,0,34,0,69
615,36,1,3,0,0,44,0,84
616,33,0,1,0,0,41,0,75
617,33,0,0,0,0,29,0,62
618,24,1,1,0,0,54,0,80
619,21,2,1,0,0,33,0,57
620,25,3,1,0,0,43,0,72
621,29,2,0,0,0,42,0,73
622,27,1,0,0,0,41,0,69
623,24,4,2,0,0,54,0,84
624,26,0,1,0,0,38,0,65
625,23,1,2,0,0,33,0,59
626,32,4,1,0,0,29,0,66
627,41,3,0,0,0,39,0,83
628,28,0,0,0,0,36,0,64
629,35,4,2,0,0,35,0,76
630,48,1,3,0,0,51,0,103
631,23,1,1,0,0,42,0,67
632,32,3,1,0,0,37,0,73
633,20,2,3,0,0,29,0,54
634,24,3,2,0,0,30,0,59
635,33,0,1,0,0,36,0,70
636,24,2,3,0,0,43,0,72
637,26,4,0,0,0,43,0,73
638,25,5,0,0,0,32,0,62
639,36,2,1,0,0,42,0,81
640,31,1,0,0,0,29,0,61
641,23,3,1,0,0,32,0,59
642,17,4,3,0,0,25,0,49
643,29,3,0,0,0,33,0,65
644,27,3,3,0,0,33,0,66
645,33,3,0,0,0,49,0,85
646,25,2,2,0,0,40,0,69
647,24,2,1,0,0,29,0,56
648,21,0,1,0,0,39,0,61
649,27,2,1,0,0,40,0,70
650,27,1,0,0,0,49,0,77
651,30,0,2,0,0,29,0,61
652,24,1,2,0,0,38,0,65
653,25,1,2,0,0,29,0,57
654,26,3,0,0,0,30,0,59
655,32,0,0,0,0,30,0,62
656,28,3,2,0,0,42,0,75
657,27,1,1,0,0,34,0,63
658,27,1,2,0,0,30,0,60
659,23,2,0,0,0,18,0,43
660,46,2,1,0,0,54,0,103
661,19,7,0,0,0,27,0,53
662,20,1,1,0,0,33,0,55
663,23,0,0,0,0,36,0,59
664,20,3,0,0,0,23,0,46
665,29,1,1,0,0,29,0,60
666,27,4,0,0,0,31,0,62
667,35,4,1,0,0,39,0,79
668,30,2,0,0,0,25,0,57
669,37,1,1,0,0,35,0,74
670,25,2,1,0,0,40,0,68
671,27,2,0,0,0,21,0,50
672,26,3,0,0,0,35,0,64
673,31,4,1,0,0,33,0,69
674,28,1,3,0,0,22,0,54
675,32,1,3,0,0,27,0,63
676,32,1,1,0,0,24,0,58
677,18,0,0,0,0,25,0,43
678,28,3,0,0,0,18,0,49
679,30,3,3,0,0,26,0,62
680,29,3,2,0,0,25,0,59
681,23,2,0,0,0,27,0,52
682,30,0,1,0,0,17,0,48
683,25,2,2,0,0,33,0,62
684,28,2,0,0,0,20,0,50
685,29,1,1,0,0,28,0,59
686,32,3,1,0,0,20,0,56
687,35,0,0,0,0,28,0,63
688,34,1,0,0,0,28,0,63
689,24,1,1,0,0,25,0,51
690,36,1,1,0,0,46,0,84
691,18,4,2,0,0,32,0,56
692,25,2,0,0,0,22,0,49
693,23,2,3,0,0,28,0,56
694,22,3,1,0,0,22,0,48
695,28,0,0,0,0,26,0,54
696,31,2,1,0,0,19,0,53
697,22,4,1,0,0,24,0,51
698,18,1,1,0,0,27,0,47
699,20,0,1,0,0,25,0,46
700,25,1,2,0,0,23,0,51
701,25,1,0,0,0,24,0,50
702,25,1,1,0,0,39,0,66
703,17,1,2,0,0,27,0,47
704,28,1,0,0,0,33,0,62
705,30,0,2,0,0,35,0,67
706,28,3,1,0,0,31,0,63
707,18,1,0,0,0,29,0,48
708,26,1,1,0,0,28,0,56
709,28,0,1,0,0,25,0,54
710,26,2,3,0,0,16,0,47
711,26,4,1,0,0,14,0,45
712,25,3,1,0,0,21,0,50
713,19,3,0,0,0,25,0,47
714,21,3,2,0,0,23,0,49
715,23,3,2,0,0,24,0,52
716,27,3,1,0,0,27,0,58
717,19,1,2,0,0,28,0,50
718,20,0,0,0,0,30,0,50
719,15,0,0,0,0,23,0,38
720,39,1,2,0,0,57,0,99
721,18,0,1,0,0,23,0,42
722,22,1,0,0,0,24,0,47
723,19,0,3,0,0,33,0,55
724,29,5,0,0,0,22,0,56
725,23,1,1,0,0,20,0,45
726,21,1,0,0,0,22,0,44
727,22,0,1,0,0,18,0,41
728,38,2,1,0,0,22,0,63
729,29,0,0,0,0,27,0,56
730,25,0,1,0,0,31,0,57
731,21,2,1,0,0,19,0,43
732,24,0,0,0,0,24,0,48
733,17,2,1,0,0,25,0,45
734,22,1,2,0,0,17,0,42
735,34,0,2,0,0,22,0,58
736,21,1,1,0,0,23,0,46
737,18,2,0,0,0,17,0,37
738,23,2,1,0,0,28,0,54
